id,school,location,date,description,L1,L2,clearance,actions,notes
202,Buckman Elementary School,Pool area left,7/15/12,Elkay single bubbler,2,2,,,
203,Buckman Elementary School,Pool area right,7/15/12,Elkay single bubbler,1,2,,,
204,Capitol Hill Elementary School,East cafeteria,1/29/12,kohler in wall,49,8,,filter installed,
205,Capitol Hill Elementary School,West Cafeteria,1/29/12,kohler in wall,30,16,,filter installed,
206,Cesar Chavez School,Across from Rm 204,12/27/11,,4,0,,,
207,Cesar Chavez School,Girls locker room,12/27/11,,3,0,,,
208,Cesar Chavez School,Outside gym east,12/27/11,Haws double bubbler,2,0,,,
209,Cesar Chavez School,Room 135,12/27/11,,8,2,,,
210,Cesar Chavez School,Room 136,12/27/11,Chicago sink drinker,5,1,,,
211,Cesar Chavez School,Room 171,12/27/11,Chicago sink drinker,5,1,,,
212,Cesar Chavez School,Across from Rm 128 Water dispenser,2/1/12,Elkay single bubbler,0,0,,,
213,Chapman Elementary School,7B,1/21/12,Chicago sink drinker,2,0,,,
214,Chapman Elementary School,Music Rm,1/21/12,Chicago sink drinker,4,0,,,
215,Chapman Elementary School,Near rm 1 Right,1/21/12,Elkay double bubbler,13,1,,,
216,Chapman Elementary School,Rm 10,1/21/12,,1,0,,,
217,Chapman Elementary School,Rm 22,1/21/12,Chicago sink drinker,2,1,,,
218,Chapman Elementary School,Rm 23,1/21/12,Chicago sink drinker,4,4,,,
219,Chapman Elementary School,Rm 26,1/21/12,unmarked,18,7,,filter installed,
220,Chief Joseph Elementary School,Near 16,7/18/12,Elkay single bubbler,12,370,,filter installed,
221,Chief Joseph Elementary School,Rm 1,7/18/12,Elkay single bubbler,4,0,,,
222,Chief Joseph Elementary School,Rm 26,7/18/12,Chicago sink drinker,5,0,,,
223,Chief Joseph Elementary School,Rm 27,7/18/12,Chicago sink drinker,5,0,,,
224,Chief Joseph Elementary School,Rm 28,7/18/12,Haws sink drinker,16,0,,filter installed,
225,Chief Joseph Elementary School,Rm 8,7/18/12,Standard single bubbler,31,67,,filter installed,
226,Chief Joseph Elementary School,Cafeteria,4/8/12,elkay in-wall fountain,2,0,,,
227,Chief Joseph Elementary School,Rm 6,4/8/12,Standard single bubbler,6,3,,,
228,Chief Joseph Elementary School,Rm 8,4/8/12,Standard single bubbler,4,0,,,
229,Child Services Center,3rd floor SE hallway,7/14/12,Elkay single bubbler,5,0,,,
230,Child Services Center,Near 13,7/14/12,Standard single bubbler,25,21,,filter installed,
231,Cleveland High School,Cafeteria left,1/22/12,Central double bubbler,9,3,,,
232,Cleveland High School,Cafeteria right,1/22/12,Central double bubbler,17,0,,filter installed,
233,Cleveland High School,Near 217,1/22/12,Halsey Taylor single bubbler,21,0,,filter installed,
234,Cleveland High School,Near rm 133,1/22/12,,1,0,,,
235,Cleveland High School,Near Rm 333,1/22/12,Central double bubbler,59,34,,filter installed,
236,Cleveland High School,Near Rm 366,1/22/12,Central single bubbler,9,9,,,
237,Cleveland High School,Near rm 380,1/22/12,Central single bubbler,8,0,,,
238,Cleveland High School,West boys locker room (main building),2/20/12,Haws single bubbler,18,23,,filter installed,
239,Cleveland High School,"""Outside gym, north fountain - filter""",6/24/12,sexauer single bubbler,3,0,,,
240,Cleveland High School,"""Outside gym, south fountain - filter""",6/24/12,sexauer single bubbler,6,0,,,
241,Columbia Site,"""Ground floor, SE corner bathroom""",7/7/12,Crane in-wall fountain,570,40,,filter installed,
242,Columbia Site,Gym - east,7/7/12,Central single bubbler,22,15,,filter installed,
243,Columbia Site,Gym - west,7/7/12,Single bubbler,3,6,,,
244,Columbia Site,Near 36 - filter,7/7/12,Elkay single bubbler,4,0,,,
245,Columbia Site,Near Rm 9,7/7/12,Elkay single bubbler,17,6,,filter installed,
246,Creative Sciences School,Hall near Rm 4 - filter,7/14/12,sexauer in wall,4,2,,,
247,Creative Sciences School,Rm 10 - Headstart,7/14/12,Central sink drinker,11,4,,,
248,Creative Sciences School,Rm 11,7/14/12,Central sink drinker,15,7,,,
249,Creative Sciences School,Rm 2,7/14/12,Sink drinker,0,19,,filter installed,
250,Creative Sciences School,Rm 24,7/14/12,Sink drinker,17,0,,filter installed,
251,Creative Sciences School,Rm 3,7/14/12,Central double bubbler,25,24,,filter installed,
252,Creative Sciences School,Rm 4,7/14/12,Central sink drinker,23,18,,filter installed,
253,Creative Sciences School,Rm 5,7/14/12,Sink drinker,0,51,,filter installed,
254,Creative Sciences School,Rm 7,7/14/12,Central sink drinker,22,3,,filter installed,
255,Creative Sciences School,Rm 8,7/14/12,Central sink drinker,22,8,,filter installed,
256,Creston Annex (DRAC),,2/4/12,In-wall fountain,28,4,,filter installed,
257,Creston Elementary School,Annex Rm 5,2/4/12,Elkay in wall,28,4,,filter installed,
258,Creston Elementary School,Near office,2/4/12,Elkay single bubbler,7,3,,,
259,Creston Elementary School,Near Rm 107,2/4/12,Central single bubbler,2,0,,,
260,Creston Elementary School,Room 101C,4/22/12,Central single bubbler,2,1,,,
261,Creston Elementary School,Room 101,3/22/16,Sink fixture,18,16,x,fixture replaced,
262,Creston Elementary School,Room 111,3/22/16,Chicago single bubbler,33,0,x,fixture replaced,
263,Creston Elementary School,Room 113,3/22/16,Chicago single bubbler,8,0,,,
264,Creston Elementary School,Room 114,3/22/16,Sink faucet for washing,14,11,,,
265,Creston Elementary School,Room 115,3/22/16,Haws single bubbler,4,0,,,
266,Creston Elementary School,Room 117,3/22/16,Haws single bubbler,6,0,,,
267,Creston Elementary School,Room 118,3/22/16,Sink fixture,5,4,,,
268,Creston Elementary School,Gym- NW Corner Fountain,3/22/16,,3,0,,,
269,Creston Elementary School,Gym- SE Corner Fountain,3/22/16,Large wall fountain,9,0,,,
270,Creston Elementary School,Kitchen Food Prep Sink CW,3/22/16,Sink fixture,23,5,x,fixture replaced,
271,Creston Elementary School,102 Cold Water Faucet,4/22/16,COLD WATER FAUCET,12,3,,,
272,Creston Elementary School,103 cold water faucet,4/22/16,COLD WATER FAUCET,0,0,,,
273,Creston Elementary School,104 cold wate faucet,4/22/16,Sink fixture,7,0,,,
274,Creston Elementary School,105 cold water faucet,4/22/16,COLD WATER FAUCET,5,0,,,
275,Creston Elementary School,106 cold water faucet,4/22/16,COLD WATER FAUCET,7,2,,,
276,Creston Elementary School,107 cold water faucet,4/22/16,COLD WATER FAUCET,7,0,,,
277,Creston Elementary School,108 cold water faucet,4/22/16,COLD WATER FAUCET,6,0,,,
278,Creston Elementary School,109 cold water faucet,4/22/16,COLD WATER FAUCET,9,0,,,
279,Creston Elementary School,110 cold water faucet,4/22/16,COLD WATER FAUCET,0,0,,,
280,Creston Elementary School,110 Haws Sink Drinker,4/22/16,Haws single bubbler,0,0,,,
281,Creston Elementary School,111 cold water faucet,4/22/16,COLD WATER FAUCET,13,8,,,
282,Creston Elementary School,111 sink fountain,4/22/16,Single bubbler,5,0,,,
283,Creston Elementary School,112 cold water faucet,4/22/16,COLD WATER FAUCET,0,0,,,
284,Creston Elementary School,112 cold water faucet,4/22/16,COLD WATER FAUCET,6,0,,,
285,Creston Elementary School,112 sink fountain,4/22/16,Single bubbler,2,0,,,
286,Creston Elementary School,113 cold water faucet,4/22/16,COLD WATER FAUCET,0,0,,,
287,Creston Elementary School,114 2nd sink by door cw,4/22/16,COLD WATER FAUCET,2,0,,,
288,Creston Elementary School,114 4th sink from door cw,4/22/16,COLD WATER FAUCET,11,2,,,
289,Creston Elementary School,114 5th teachers sink cw,4/22/16,COLD WATER FAUCET,14,4,,,
290,Creston Elementary School,114 eye wash sink cw,4/22/16,COLD WATER FAUCET,8,0,,,
291,Creston Elementary School,114 sink by door-cw,4/22/16,COLD WATER FAUCET,0,0,,,
292,Creston Elementary School,115 cold water faucet- Flushed,4/22/16,COLD WATER FAUCET,0,0,,,
293,Creston Elementary School,116 cold water faucet,4/22/16,COLD WATER FAUCET,3,3,,,
294,Creston Elementary School,116 sink fountain,4/22/16,Single bubbler,3,0,,,
295,Creston Elementary School,117 cold water faucet,4/22/16,COLD WATER FAUCET,5,2,,,
296,Creston Elementary School,119 Sink cold water faucet,4/22/16,COLD WATER FAUCET,5,6,,,
297,Creston Elementary School,100A cold water faucet,4/22/16,COLD WATER FAUCET,15,11,,,
298,Creston Elementary School,100B cold water faucet,4/22/16,COLD WATER FAUCET,10,52,,"""signage posted, outlet disabled""",
299,Creston Elementary School,100C cold water faucet,4/22/16,COLD WATER FAUCET,10,0,,,
300,Creston Elementary School,101B cold water faucet,4/22/16,COLD WATER FAUCET,0,4,,,
301,Creston Elementary School,108A cold water faucet,4/22/16,COLD WATER FAUCET,26,11,,outlet disabled,
302,Creston Elementary School,Hall fountain outside cafeteria,4/22/16,Central single bubbler,3,0,,,
303,Creston Elementary School,Dental Clinic 2 cold water faucet,4/22/16,COLD WATER FAUCET,0,0,,,
304,Creston Elementary School,Dental Clinic 3 cold water faucet,4/22/16,COLD WATER FAUCET,5,0,,,
305,Creston Elementary School,Dental Clinic 1 Cold Water Faucet,4/22/16,COLD WATER FAUCET,0,0,,,
306,Creston Elementary School,Dental Clinic work sink cold water faucet,4/22/16,COLD WATER FAUCET,4,0,,,
307,Creston Elementary School,Dental Clinic Corner Sink Cold Water,4/22/16,COLD WATER FAUCET,5,2,,,
308,Creston Elementary School,Hall fountain by 102,4/22/16,fountain bubbler,2,0,,,
309,Creston Elementary School,Hall fountain by 103,4/22/16,Single bubbler,0,0,,,
310,Creston Elementary School,hall fountian by 106,4/22/16,Single bubbler,0,0,,,
311,Creston Elementary School,hallway fountain by 112,4/22/16,Single bubbler,0,0,,,
312,Creston Elementary School,hall fountian by gym,4/22/16,Single bubbler,0,0,,,
313,Creston Elementary School,Hall Fountain by Main Office,4/22/16,Single bubbler,4,0,,,
314,Creston Elementary School,hall fountain by 107,4/22/16,Single bubbler,3,0,,,
315,Creston Elementary School,hall fountain by 116,4/22/16,Single bubbler,6,0,,,
316,Creston Elementary School,Kitchen Sprayer Sink,4/22/16,COLD WATER FAUCET,6,0,,,
317,Creston Elementary School,Kitchen work Sink,4/22/16,COLD WATER FAUCET,3,2,,,
318,Creston Elementary School,Kitchen work Sink Water Filler Faucet,4/22/16,COLD WATER FAUCET,13,0,,,
319,Creston Elementary School,Spray Sink Water Fill Faucet,4/22/16,COLD WATER FAUCET,24,6,x,fixture replaced,
320,Creston Elementary School,Library office cold water faucet,4/22/16,COLD WATER FAUCET,29,4,x,fixture replaced,
321,Creston Elementary School,Nurses Office Cold Water Faucet,4/22/16,COLD WATER FAUCET,3,6,,,
322,Creston Elementary School,Nurses office sink faucet,4/22/16,COLD WATER FAUCET,3,6,,,
323,DaVinci Arts Middle School,Near room 206,3/5/12,,0,4,,,
324,DaVinci Arts Middle School,Near Room 211,3/5/12,Central double bubbler,8,2,,,
325,DaVinci Arts Middle School,East of balcony third floor,7/7/12,Elkay single bubbler,8,2,,,
326,DaVinci Arts Middle School,Near elevator third floor - filter,7/7/12,Elkay double bubbler,6,0,,,
327,DaVinci Arts Middle School,Near Room 302,6/10/12,,7,14,,,
328,DaVinci Arts Middle School,Portable A,12/10/14,Central single bubbler,9,0,,,
329,DaVinci Arts Middle School,Portable A,12/10/14,COLD WATER FAUCET,0,0,,,
330,DaVinci Arts Middle School,DaVinci- Portable F,12/10/14,COLD WATER FAUCET,5,5,,,
331,DaVinci Arts Middle School,Portlabe F,12/10/14,COLD WATER FAUCET,0,0,,,
332,DaVinci Arts Middle School,Hall Fountain by 106,1/23/15,Elkay single bubbler,7,0,,,
333,DaVinci Arts Middle School,Hall Fountain by room 211,1/23/15,Chicago double bubbler,6,0,,,
334,DaVinci Arts Middle School,Hall Fountain by 307,1/23/15,Elkay single bubbler,0,0,,,
335,DaVinci Arts Middle School,Hall Fountain by Elevator,1/23/15,Central double bubbler,6,0,,,
336,DaVinci Arts Middle School,Hall Fountain by Library,1/23/15,Elkay single bubbler,15,0,,,
337,DaVinci Arts Middle School,Hall Fountain by 102,1/23/15,Central double bubbler,0,0,,,
338,DaVinci Arts Middle School,Hall Fountain by 106,1/23/15,Elkay single bubbler,8,0,,,
